# Khmer Calendar event snapshot v1
# source=https://khmer-lunar-calendar.com/
# captured_at=2026-09-10T05:42:30.174Z
# coverage=2000-01-01/2030-12-31
# database_sha256=6efda12f4ec4435fe43e3a11da00bea2e2d305149d64062c5c60f04f7f5765d1
# columns=id,date,title_km,title_en,official_source_url
f43a2dc807a883288f8d6f8f	2001-02-07	ហែ​អ្នក​តា​ចិន	Spirit Parade	
9972666530f50212c443a279	2001-02-08	ពិធី​បុណ្យ​មាឃបូជា	Meak Bochea	
965e4213b6ab407b6a4e90c9	2001-02-14	ថ្ងៃ​បុណ្យ​នៃ​សេចក្តី​ស្រលាញ់	Valentine's Day	
98be038f5c8058835993bcbd	2001-02-24	ទិវា​ជាតិ​យល់​ដឹង​ពី​មីន ខួបលើកទី២	National Mine Awareness Day	
f8ec673fb769fcb2c5f62fe6	2001-03-03	ទិវា​វប្ប​ធម៌​ជាតិ ខួបលើកទី៣	National Culture Day	
07856a235392d8a09c4ceaca	2001-03-04	ទិវា​នយោបាយ​ទឹក	Water Policy Day	
0099aa08edd243c8730486c1	2001-03-08	ទិវា​នារី​អន្តរជាតិ ខួបលើកទី៩០	International Women's Day	
3ba2b22f962022b53a5b94bb	2001-03-22	ទិវា​ពិភព​លោក​ទឹក និង​ឧតុនិយម	World Water and World Meteorological Day	
9645e716471c8768a84f04fc	2001-03-24	ទិវា​ពិភព​លោក​កំចាត់​ជម្ងឺ​របេង	World Tuberculosis Day	
01a67ce597f26ea1ccaa8ec7	2001-04-05	ឆេង​ម៉េង	Tomb-Sweeping Day (Qingming Festival)	
2e8310ff9d4703252fb5074b	2001-04-07	ទិវា​សុខ​ភាព​ពិភព​លោក	World Health Day	
dfc865276a49cf1049750e80	2001-04-13	ពិធី​បុណ្យ​ចូល​ឆ្នាំ​ថ្មី ប្រពៃណី​ជាតិ - មហា​សង្រ្កាន្ត ម៉ោង ១១:៣៦ PM	Khmer New Year - Moha Sankranta at 11:36 PM	
0b8e3ba95ec756e7a5cbf252	2001-04-14	ពិធី​បុណ្យ​ចូល​ឆ្នាំ​ថ្មី ប្រពៃណី​ជាតិ - វារ:​វ័ន​បត	Khmer New Year - Veareak Vanabat	
8f9cd3b3c1c398d299dbe4ae	2001-04-15	ពិធី​បុណ្យ​ចូល​ឆ្នាំ​ថ្មី ប្រពៃណី​ជាតិ - វារ:​វ័ន​បត	Khmer New Year - Veareak Vanabat	
68235aaf96fe9717154bcb3c	2001-04-16	ពិធី​បុណ្យ​ចូល​ឆ្នាំ​ថ្មី ប្រពៃណី​ជាតិ - ថ្ងៃ​ឡើង​ស័ក	Khmer New Year - Veareak Laeung Sak	
9fa3988d73428d61ef234cc0	2001-04-30	កម្ពុជា​ចូល​ជា​សមា​ជិក​អាស៊ាន ខួបលើកទី២	Cambodia joined The Association of Southeast Asian Nations (ASEAN)	
f8d1549b2af02602495005f9	2001-05-01	ទិវា​ពលកម្ម​អន្តរជាតិ ខួបលើកទី១១៥	International Labor Day	
d23610b6355f7c0fff9e3561	2001-05-03	ទិវា​សេរី​ភាព​សារ​ពត៌​មាន​ពិភព​លោក ខួបលើកទី៨	World Press Freedom Day	
22dce9d8b6947263212219a4	2001-05-07	ពិធី​បុណ្យ​វិសាខ​បូជា	Visak Bochea	
